#ACTIVE;RulGrp;Srctab;SrcKey;Srcfld;Srctyp;Destab;DesKey;Desfld;Deslen;Destyp;Operate;Con1;Con2;con3
Y;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;FLN;4;;;;;
Y;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;FLX;1;;;;;
Y;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;FLT;8;;;;;
Y;2;AFTTAB;URNO;ALC2;;Current_Departures;DID;FLS;3;;;;;
Y;2;AFTTAB;URNO;FKEY;;Current_Departures;DID;FLK;20;;FKEYCOMBINATION;FTYP-STOD-FLNO-ADID;DATELOC;
Y;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;ALN;3;;ROTATION;;;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;SDT;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;DAY;1;;WEEKDAY;DATELOC;;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;DOP;2;;OPERDAY;DATELOC;;
Y;2;AFTTAB;URNO;ALC2;;Current_Departures;DID;PLC;3;;;;;
Y;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;PLN;4;;;;;
Y;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;PLX;1;;;;;
Y;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;PLT;8;;;;;
Y;2;ALTTAB;URNO;ALC3;;Current_Departures;DID;PCN;30;;REF;ALC3;ALFN;
Y;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;LKC;3;;ROTATION;;;
Y;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;LKN;4;;ROTATION;;;
Y;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;LKX;1;;ROTATION;;;
Y;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;LKF;8;;ROTATION;;;
Y;2;AFTTAB;URNO;STOA;;Current_Departures;DID;LKD;1;;ROTATIONWEEKDAY;DATELOC;;
Y;2;AFTTAB;URNO;STOA;;Current_Departures;DID;LKS;8;;ROTATION;;;
N;2;AFTTAB;URNO;JCNT;;Current_Departures;DID;SST;2;;CODESHARE;;;
N;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;MFC;3;;CODESHARE1;;;
N;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;MFN;4;;CODESHARE1;;;
N;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;MFX;1;;CODESHARE1;;;
N;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;MFF;1;;CODESHARE1;;;
Y;2;AFTTAB;URNO;DES3;;Current_Departures;DID;DES;3;;;;;
Y;2;AFTTAB;URNO;VIAL;;Current_Departures;DID;VI1;3;;VIA;;;
Y;2;AFTTAB;URNO;VIAL;;Current_Departures;DID;VI2;3;;VIA;;;
Y;2;AFTTAB;URNO;VIAL;;Current_Departures;DID;VI3;3;;VIA;;;
Y;2;AFTTAB;URNO;FLTI;;Current_Departures;DID;FSC;1;;;;;
Y;2;AFTTAB;URNO;FTYP;;Current_Departures;DID;NAT;3;;;;;
Y;2;AFTTAB;URNO;STYP;;Current_Departures;DID;FST;1;;;;;
Y;2;AFTTAB;URNO;REMP;;Current_Departures;DID;REM;3;;;;;
Y;2;AFTTAB;URNO;PAXT;;Current_Departures;DID;PAX;3;;;;;
Y;2;AFTTAB;URNO;PAXT;;Current_Departures;DID;PXS;3;;;;;
Y;2;AFTTAB;URNO;CKIF;;Current_Departures;DID;CID;11;;COUNTERRANGE;CKIF-CKIT;;
N;2;CCATAB;URNO;UNRO;;Current_Departures;DID;CHS;1;;COUNTER;CKBA;FLNU;
N;2;CCATAB;URNO;URNO;;Current_Departures;DID;CIO;4;;COUNTER;CKBS;FLNU;
N;2;CCATAB;URNO;URNO;;Current_Departures;DID;CIC;4;;COUNTER;CKES;FLNU;
Y;2;AFTTAB;URNO;BLT1;;Current_Departures;DID;BLT;5;;;;;
Y;2;AFTTAB;URNO;URNO;NUMBER;Current_Departures;DID;AID;22;;ROTATION;NUMBER;;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;STD;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;2;AFTTAB;URNO;ETOD;;Current_Departures;DID;ETD;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;2;AFTTAB;URNO;ETOD;;Current_Departures;DID;EDT;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;2;AFTTAB;URNO;TIFD;;Current_Departures;DID;LTD;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;2;AFTTAB;URNO;TISD;;Current_Departures;DID;LAX;1;;;;;
Y;2;AFTTAB;URNO;TIFD;;Current_Departures;DID;LDD;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;2;AFTTAB;URNO;AIRB;;Current_Departures;DID;ABT;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;2;AFTTAB;URNO;AIRB;;Current_Departures;DID;ABD;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;2;AFTTAB;URNO;OFBL;;Current_Departures;DID;ATD;4;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;2;AFTTAB;URNO;OFBL;;Current_Departures;DID;ADT;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;2;AFTTAB;URNO;GTD1;;Current_Departures;DID;LNG;4;;;;;
Y;2;AFTTAB;URNO;PSTD;;Current_Departures;DID;GAT;5;;;;;
Y;2;AFTTAB;URNO;GA1X;;Current_Departures;DID;GST;1;;;;;
Y;2;AFTTAB;URNO;REGN;;Current_Departures;DID;REG;12;;;;;
Y;2;AFTTAB;URNO;NOSE;;Current_Departures;DID;CAP;3;;;;;
Y;2;AFTTAB;URNO;TRMD;;Current_Departures;DID;TER;2;;;;;
Y;2;AFTTAB;URNO;RWYD;;Current_Departures;DID;RWY;4;;;;;
Y;2;AFTTAB;URNO;ACT3;;Current_Departures;DID;TYP;3;;;;;
Y;2;AFTTAB;URNO;ACT3;;Current_Departures;DID;TYS;3;;;;;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;GTD;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;GDD;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;2;AFTTAB;URNO;JFNO;;Current_Departures;DID;CSF;49;;CODESHAREFORMAT;ALC2;;
Y;2;AFTTAB;URNO;JFNO;;Current_Departures;DID;BSF;49;;CODESHAREFORMAT;ALC2;;
Y;2;AFTTAB;URNO;JFNO;;Current_Departures;DID;ASF;49;;CODESHAREFORMAT;ALC3;;
Y;2;AFTTAB;URNO;JFNO;;Current_Departures;DID;LSF;49;;CODESHAREFORMAT;ALC3;;
Y;2;AFTTAB;URNO;EXT1;;Current_Departures;DID;ZON;3;;ZON;;;
Y;2;APTTAB;URNO;ORG3;;Current_Departures;DID;CTY;18;;REF;APC3;APFN;
Y;2;APTTAB;URNO;VIAL;;Current_Departures;DID;CT1;18;;VIAREF;APC3;APFN;
Y;2;APTTAB;URNO;VIAL;;Current_Departures;DID;CT2;18;;VIAREF;APC3;APFN;
Y;2;APTTAB;URNO;VIAL;;Current_Departures;DID;CT3;18;;VIAREF;APC3;APFN;
N;2;AFTTAB;URNO;JCNT;;Current_Departures;DID;MPC;3;;CODESHARE;;;
N;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;MPN;4;;CODESHARE1;;;
N;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;MPX;1;;CODESHARE1;;;
N;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;MBC;3;;CODESHARE1;;;
Y;2;AFTTAB;URNO;GA1Y;;Current_Departures;DID;GCD;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;2;AFTTAB;URNO;GA1Y;;Current_Departures;DID;GCT;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
